timeId,name,keywordId,count
84,bild,1,1734
85,bild,1,1212
86,bild,1,1440
87,bild,1,908
88,bild,1,1098
89,bild,1,1225
90,bild,1,140
91,bild,1,4607
49,byggnad,1,3
70,byggnad,1,2
72,byggnad,1,3
74,byggnad,1,1
75,byggnad,1,19
76,byggnad,1,36
77,byggnad,1,26
78,byggnad,1,88
79,byggnad,1,714
80,byggnad,1,647
81,byggnad,1,851
82,byggnad,1,1093
83,byggnad,1,2185
84,byggnad,1,2199
85,byggnad,1,2878
86,byggnad,1,3947
87,byggnad,1,1499
88,byggnad,1,2630
89,byggnad,1,5558
90,byggnad,1,3166
91,byggnad,1,11042
57,flicka,1,1
70,flicka,1,5
71,flicka,1,5
72,flicka,1,3
74,flicka,1,3
75,flicka,1,5
76,flicka,1,4
77,flicka,1,15
78,flicka,1,107
79,flicka,1,394
80,flicka,1,588
81,flicka,1,3916
82,flicka,1,3641
83,flicka,1,2431
84,flicka,1,3326
85,flicka,1,3755
86,flicka,1,2310
87,flicka,1,5657
88,flicka,1,1980
89,flicka,1,4749
90,flicka,1,603
91,flicka,1,11594
68,interiör,1,1
70,interiör,1,5
71,interiör,1,10
72,interiör,1,4
73,interiör,1,2
74,interiör,1,5
75,interiör,1,9
76,interiör,1,8
77,interiör,1,25
78,interiör,1,66
79,interiör,1,244
80,interiör,1,437
81,interiör,1,633
82,interiör,1,927
83,interiör,1,1463
84,interiör,1,2836
85,interiör,1,5912
86,interiör,1,5228
87,interiör,1,1602
88,interiör,1,1782
89,interiör,1,8570
90,interiör,1,1708
91,interiör,1,10734
60,kyrka,1,8
61,kyrka,1,1
66,kyrka,1,1
68,kyrka,1,1
69,kyrka,1,1
71,kyrka,1,2
72,kyrka,1,3
74,kyrka,1,1
75,kyrka,1,1
76,kyrka,1,6
77,kyrka,1,8
78,kyrka,1,127
79,kyrka,1,353
80,kyrka,1,892
81,kyrka,1,632
82,kyrka,1,1009
83,kyrka,1,1308
84,kyrka,1,1643
85,kyrka,1,2953
86,kyrka,1,2027
87,kyrka,1,1467
88,kyrka,1,2447
89,kyrka,1,5460
90,kyrka,1,3671
91,kyrka,1,8098
70,pojke,1,1
71,pojke,1,5
72,pojke,1,3
73,pojke,1,1
74,pojke,1,6
75,pojke,1,3
76,pojke,1,2
77,pojke,1,18
78,pojke,1,86
79,pojke,1,325
80,pojke,1,484
81,pojke,1,2882
82,pojke,1,2686
83,pojke,1,2208
84,pojke,1,2530
85,pojke,1,4051
86,pojke,1,2452
87,pojke,1,3972
88,pojke,1,1883
89,pojke,1,4255
90,pojke,1,529
91,pojke,1,9209
69,mode,1,1
70,mode,1,24
71,mode,1,23
72,mode,1,24
73,mode,1,17
74,mode,1,32
75,mode,1,43
76,mode,1,63
77,mode,1,64
78,mode,1,72
79,mode,1,186
80,mode,1,99
81,mode,1,96
82,mode,1,391
83,mode,1,1433
84,mode,1,2005
85,mode,1,3062
86,mode,1,1025
87,mode,1,558
88,mode,1,604
89,mode,1,384
90,mode,1,393
91,mode,1,3427
0,kärl,1,485
31,kärl,1,522
43,kärl,1,2036
57,kärl,1,1
60,kärl,1,513
63,kärl,1,68
66,kärl,1,2
68,kärl,1,393
70,kärl,1,14
71,kärl,1,7
72,kärl,1,6
73,kärl,1,4
74,kärl,1,8
75,kärl,1,2
76,kärl,1,18
77,kärl,1,12
78,kärl,1,12
79,kärl,1,75
80,kärl,1,65
81,kärl,1,101
82,kärl,1,134
83,kärl,1,156
84,kärl,1,52
85,kärl,1,115
86,kärl,1,1268
87,kärl,1,111
88,kärl,1,52
89,kärl,1,291
90,kärl,1,11660
91,kärl,1,10624
72,ateljé,1,1
77,ateljé,1,5
78,ateljé,1,87
79,ateljé,1,145
80,ateljé,1,813
81,ateljé,1,6065
82,ateljé,1,7322
83,ateljé,1,4181
84,ateljé,1,4355
85,ateljé,1,3562
86,ateljé,1,950
87,ateljé,1,22614
88,ateljé,1,280
89,ateljé,1,189
90,ateljé,1,11
91,ateljé,1,31069
48,pottery,1,573
56,pottery,1,4381
57,pottery,1,59
58,pottery,1,1
60,pottery,1,223
63,pottery,1,1
65,pottery,1,4
68,pottery,1,71
70,pottery,1,51
72,pottery,1,1
74,pottery,1,1
77,pottery,1,6
78,pottery,1,929
79,pottery,1,310
80,pottery,1,1177
81,pottery,1,2018
82,pottery,1,7419
83,pottery,1,2485
84,pottery,1,374
85,pottery,1,735
86,pottery,1,195
87,pottery,1,65
88,pottery,1,5
89,pottery,1,3237
90,pottery,1,108
91,pottery,1,1202
43,vapen,1,1
48,vapen,1,4
49,vapen,1,3
52,vapen,1,1
57,vapen,1,1
60,vapen,1,5
61,vapen,1,18
62,vapen,1,1
63,vapen,1,5
64,vapen,1,1
65,vapen,1,4
66,vapen,1,19
67,vapen,1,41
68,vapen,1,20
69,vapen,1,17
70,vapen,1,50
71,vapen,1,55
72,vapen,1,46
73,vapen,1,37
74,vapen,1,46
75,vapen,1,38
76,vapen,1,123
77,vapen,1,182
78,vapen,1,565
79,vapen,1,1651
80,vapen,1,1165
81,vapen,1,920
82,vapen,1,1245
83,vapen,1,1437
84,vapen,1,1206
85,vapen,1,1616
86,vapen,1,2288
87,vapen,1,1006
88,vapen,1,261
89,vapen,1,392
90,vapen,1,705
91,vapen,1,3533
43,ceramics,1,82
48,ceramics,1,575
52,ceramics,1,4
53,ceramics,1,8
54,ceramics,1,2
56,ceramics,1,10474
59,ceramics,1,1
60,ceramics,1,257
63,ceramics,1,148
65,ceramics,1,4
66,ceramics,1,1
68,ceramics,1,106
69,ceramics,1,1
70,ceramics,1,52
71,ceramics,1,1
72,ceramics,1,1
73,ceramics,1,2
75,ceramics,1,1
76,ceramics,1,2
77,ceramics,1,10
78,ceramics,1,1200
79,ceramics,1,2
80,ceramics,1,3
81,ceramics,1,221
82,ceramics,1,53
83,ceramics,1,163
84,ceramics,1,67
85,ceramics,1,28
86,ceramics,1,37
87,ceramics,1,310
88,ceramics,1,6
89,ceramics,1,8646
90,ceramics,1,8
91,ceramics,1,395
61,militär,1,1
71,militär,1,2
72,militär,1,1
76,militär,1,5
77,militär,1,13
78,militär,1,831
79,militär,1,1377
80,militär,1,746
81,militär,1,2932
82,militär,1,1099
83,militär,1,941
84,militär,1,2862
85,militär,1,1195
86,militär,1,560
87,militär,1,213
88,militär,1,834
89,militär,1,1081
90,militär,1,96
91,militär,1,3005
31,dräkt,1,1
48,dräkt,1,1
49,dräkt,1,1
60,dräkt,1,3
63,dräkt,1,1
64,dräkt,1,1
66,dräkt,1,1
68,dräkt,1,10
70,dräkt,1,2
71,dräkt,1,4
72,dräkt,1,33
73,dräkt,1,8
74,dräkt,1,61
75,dräkt,1,30
76,dräkt,1,269
77,dräkt,1,174
78,dräkt,1,602
79,dräkt,1,1153
80,dräkt,1,1294
81,dräkt,1,1053
82,dräkt,1,952
83,dräkt,1,1133
84,dräkt,1,1060
85,dräkt,1,1105
86,dräkt,1,1962
87,dräkt,1,1575
88,dräkt,1,1721
89,dräkt,1,2644
90,dräkt,1,800
91,dräkt,1,5403
43,porträtt,1,1
60,porträtt,1,1
68,porträtt,1,4
69,porträtt,1,2
70,porträtt,1,1
71,porträtt,1,5
72,porträtt,1,6
73,porträtt,1,3
74,porträtt,1,10
75,porträtt,1,7
76,porträtt,1,24
77,porträtt,1,43
78,porträtt,1,1050
79,porträtt,1,1729
80,porträtt,1,697
81,porträtt,1,839
82,porträtt,1,943
83,porträtt,1,820
84,porträtt,1,698
85,porträtt,1,723
86,porträtt,1,1051
87,porträtt,1,289
88,porträtt,1,278
89,porträtt,1,523
90,porträtt,1,115
91,porträtt,1,1561
68,heminredning,1,11
69,heminredning,1,3
70,heminredning,1,12
71,heminredning,1,11
72,heminredning,1,44
73,heminredning,1,32
74,heminredning,1,84
75,heminredning,1,81
76,heminredning,1,182
77,heminredning,1,120
78,heminredning,1,445
79,heminredning,1,934
80,heminredning,1,656
81,heminredning,1,655
82,heminredning,1,628
83,heminredning,1,789
84,heminredning,1,467
85,heminredning,1,751
86,heminredning,1,955
87,heminredning,1,2792
88,heminredning,1,478
89,heminredning,1,4146
90,heminredning,1,230
